user_id,avg_item_price,median_item_price,std_item_price,min_item_price,max_item_price,unique_items,num_transactions,price_cv,spending_segment,user_type
41440392825,3.52,2.99,3.33,0.44,40.0,184,67,0.95,Frugal,loyal
41441394366,3.94,2.33,6.13,0.5,40.0,91,38,1.56,Frugal,loyal
41451543442,4.01,3.0,5.5,0.49,40.0,282,95,1.37,Normal,loyal
41456069174,4.07,3.29,4.3,0.0,40.0,2781,266,1.06,Normal,loyal
41466031930,4.16,3.19,3.69,0.45,40.0,282,94,0.89,Normal,loyal
41468041888,4.48,3.78,4.06,0.4,81.99,340,105,0.91,Big Spender,loyal
41470185411,4.62,2.79,7.51,0.0,40.0,392,92,1.63,Big Spender,loyal
41504261224,3.97,2.49,6.45,0.0,40.0,449,105,1.62,Normal,loyal
41521615027,4.26,2.85,4.94,0.0,40.0,707,220,1.16,Normal,loyal
41527877334,3.89,2.79,4.67,0.29,40.0,961,194,1.2,Frugal,loyal
41556793318,3.87,3.19,4.02,0.5,40.0,357,45,1.04,Frugal,loyal
41563366248,3.3,2.66,3.84,0.05,40.0,376,81,1.16,Frugal,loyal
41591270833,4.58,3.29,6.41,0.5,54.49,88,29,1.4,Big Spender,loyal
41607535172,2.88,2.38,2.12,0.5,10.79,91,54,0.74,Frugal,loyal
41631689814,3.39,3.0,2.23,0.15,12.99,183,70,0.66,Frugal,loyal
41634106592,3.05,2.5,2.15,0.29,16.99,286,89,0.7,Frugal,loyal
41643084633,3.45,2.99,2.07,0.5,11.99,208,65,0.6,Frugal,loyal
41643124033,3.85,2.59,5.0,0.5,40.0,95,52,1.3,Frugal,loyal
41661165323,4.77,3.55,4.53,0.4,40.0,453,80,0.95,Big Spender,loyal
41668606614,4.61,2.5,7.5,0.17,40.0,415,191,1.63,Big Spender,loyal
41691324821,2.47,1.69,2.05,0.0,12.99,65,57,0.83,Frugal,loyal
41706774086,4.28,2.79,6.81,0.0,41.0,971,210,1.59,Big Spender,loyal
41714019299,3.91,3.19,2.77,0.5,40.0,632,146,0.71,Frugal,loyal
41718990155,4.22,2.99,5.77,0.05,40.0,285,93,1.37,Normal,loyal
41726185347,3.7,2.99,2.31,0.5,13.99,137,139,0.62,Frugal,loyal
41767763033,2.99,2.5,2.61,0.0,40.0,310,51,0.87,Frugal,loyal
41777750715,3.98,3.39,3.97,0.45,81.99,557,117,1.0,Normal,loyal
41786230378,4.28,2.89,6.3,0.49,40.0,413,59,1.47,Big Spender,loyal
41815389821,4.08,2.99,5.02,0.0,40.0,208,82,1.23,Normal,loyal
41822888993,3.68,2.99,4.18,0.0,40.0,796,259,1.14,Frugal,loyal
41823472430,4.77,3.0,6.8,0.0,40.0,222,63,1.43,Big Spender,loyal
41855352331,3.73,2.88,3.52,0.0,40.0,437,134,0.94,Frugal,loyal
41875261108,4.05,2.69,5.52,0.3,40.0,128,64,1.36,Normal,loyal
41909065674,4.48,3.89,4.36,0.5,40.0,392,178,0.97,Big Spender,loyal
41931721188,4.85,3.74,5.18,0.0,79.99,527,144,1.07,Big Spender,loyal
41932272690,4.14,3.29,4.72,0.5,40.0,502,209,1.14,Normal,loyal
41949602510,3.71,2.55,3.94,0.0,40.0,241,52,1.06,Frugal,loyal
41973065295,3.94,3.18,4.5,0.45,40.0,522,104,1.14,Frugal,loyal
41977613627,4.28,3.38,4.13,0.33,40.0,627,77,0.96,Big Spender,loyal
41979178031,4.05,3.49,2.58,0.3,12.99,227,56,0.64,Normal,loyal
