item_id,unique_buyers,purchase_count,total_units,avg_price
7003862625,20,56,90,0.8
2840004011,10,56,69,0.5
20095400000,18,56,56,5.0
7218063735,21,55,71,3.42
7003837281,24,55,58,4.0
7003862261,23,55,69,3.77
4690000108,22,55,97,1.63
OPEN DEPT 113,13,55,100,0.0
6414428243,19,54,84,1.69
7248600220,19,54,106,0.9
85064500838,8,54,55,2.59
20030200000,18,54,70,6.03
81003051225,13,54,55,2.59
20021400000,21,54,82,18.89
1200080994,20,53,69,6.44
7273000623,15,53,67,4.22
1590006337,16,53,145,1.44
4900000045,8,52,54,2.43
7143001069,13,52,58,2.36
7003836020,21,52,77,2.36
7143001135,20,52,75,1.72
20030800000,19,52,85,12.11
7097047531,6,52,64,1.44
7003860790,5,52,60,1.59
7003838659,17,52,56,8.74
7343500004,22,51,58,4.71
4053,26,51,143,0.66
2100061223,20,50,79,3.24
5000088680,7,50,56,4.34
2840009089,8,50,61,0.5
7265300101,10,50,64,1.79
7218063736,19,49,71,3.28
7024230120,15,49,54,3.64
7003867129,20,49,51,2.33
20009400000,22,48,72,23.01
20000600000,13,48,62,9.22
7003860551,14,48,65,2.43
20040700000,17,48,54,13.82
7003858241,19,48,64,2.4
4782,21,48,52,1.58
7003830950,22,48,50,2.28
7218063718,13,48,71,3.58
1200017176,5,47,60,2.9
7003867130,17,47,49,2.36
7003859861,21,47,81,1.05
20079000000,8,47,56,40.0
2840004380,19,47,50,2.72
7084789832,8,47,49,2.59
3338366400,20,47,52,1.19
4470001184,13,47,62,5.07
135,5,47,51,1.99
2840058928,16,47,50,5.53
7294570544,27,47,56,2.75
2781500111,17,47,67,3.83
5040075116,21,46,47,3.12
5040073942,24,46,53,3.26
9147563004,5,46,58,3.93
7003864472,17,46,47,1.59
7003837273,9,46,47,2.02
20033000000,14,46,58,21.26
4022,22,46,47,2.85
4050,17,46,52,3.16
20010000000,21,46,53,7.54
61126933282,3,45,109,2.76
2840058929,18,45,53,5.17
81001926824,4,45,47,3.39
20011800000,18,45,62,9.9
4016,23,45,46,1.28
7790050210,9,45,47,7.68
7003834308,12,44,50,4.19
4818,16,44,44,1.11
5300000636,20,44,59,2.74
7189905101,23,44,61,3.48
948100009,10,43,143,0.5
2430004134,5,43,54,3.06
7003862092,16,43,43,2.8
7790000169,5,43,43,7.95
4958,24,43,107,0.4
7003858803,19,43,50,2.31
3100010130,12,42,82,1.42
8526482027,7,42,44,1.49
2740026499,20,42,42,6.49
7555141150,17,42,48,3.12
4665,16,42,42,0.72
7493300001,1,42,43,11.92
2840058986,17,42,43,4.22
2410010685,13,42,51,4.79
8994900585,11,41,41,3.87
6414428263,18,41,59,1.8
7084702402,3,41,45,3.19
7206000316,11,41,43,3.62
4498,24,41,41,2.3
4078,17,41,128,0.55
7225003706,11,41,42,4.07
81003051850,6,41,44,2.59
3338353610,19,41,48,2.23
81003051808,7,40,42,2.59
4600082121,13,40,50,2.27
2781500231,15,40,49,4.59
7003833753,18,40,47,4.22
20021500000,20,40,56,10.93
7800000531,4,40,99,2.66
2840009084,9,40,50,0.5
7084701247,7,39,42,2.44
7800011340,7,39,41,2.27
88546000007,13,39,39,1.86
88810915004,15,39,44,2.82
20100100000,17,39,70,26.39
4900005015,6,39,57,2.89
5100001031,18,39,76,1.8
5410092502,16,39,147,0.93
2840009085,12,38,48,0.48
1128400306,13,38,57,0.92
20069000000,7,38,40,4.08
4400003111,21,38,43,3.95
20032000000,17,38,58,8.35
5100001261,17,38,70,1.82
2100002649,17,38,40,5.87
7142900246,3,38,47,4.8
7003833780,16,37,38,4.37
2840058932,19,37,40,5.27
1200000230,14,37,54,2.69
7003834612,15,37,54,2.42
4400000057,15,37,37,3.97
1200000088,10,37,53,12.72
7800001182,3,37,44,8.42
20056200000,5,37,41,9.99
7003864099,13,37,42,2.44
3507,17,37,37,1.54
81204900690,18,37,40,2.6
2840009151,3,36,38,0.5
7590138216,13,36,41,5.28
5200001122,15,36,93,1.03
2840020129,11,36,40,3.11
7206000123,16,36,36,2.53
4660035005,11,36,46,3.6
5190001613,8,35,38,7.56
5100012114,17,35,54,2.78
7143000933,11,35,38,3.04
7003863960,12,35,42,0.67
78597310200,15,35,43,3.18
7003861164,6,35,39,1.55
71826205800,7,35,35,3.29
7189962416,13,34,35,6.41
7003858876,5,34,139,4.39
7003834974,13,34,78,0.69
7003835487,15,34,39,4.99
7206000449,1,34,239,0.88
2100065893,11,34,49,3.9
2430004106,13,34,38,2.9
1200080996,14,34,44,6.76
88810915002,16,34,37,2.73
1800000182,13,33,50,3.37
2100065886,9,33,36,3.87
7003836203,19,33,46,2.42
20066700000,7,33,34,2.19
7800000586,2,33,36,2.09
7003867146,14,33,43,2.55
4161,18,33,33,1.51
1128400311,11,33,49,0.85
4660000501,14,33,39,3.19
5300006382,13,33,45,2.39
85300400402,11,33,34,1.68
3493,17,33,33,1.32
20041000000,15,33,37,16.95
6827434661,2,33,33,1.95
20065600000,15,33,36,11.57
4044,12,33,34,2.19
20098600000,20,33,138,17.42
7111719008,8,32,34,5.99
7206000403,14,32,36,2.57
20023700000,13,32,45,11.06
2840051631,18,32,34,4.43
7080004146,17,32,45,4.52
20030500000,13,32,36,3.87
1490001270,19,32,42,2.97
1112800001,19,32,32,6.27
4900055771,2,32,40,1.09
81032601292,13,32,36,4.93
4045,11,32,33,2.8
3800013863,3,32,37,3.0
7003867128,13,31,33,2.31
2430004102,12,31,32,2.88
4088,13,31,32,1.58
1128400343,10,31,36,1.12
7003830946,11,31,40,1.4
81003051015,7,31,31,2.59
2781530050,6,31,54,3.89
2100003934,13,31,61,1.16
5100001251,18,31,68,1.66
88810911064,10,31,33,2.86
7800005440,8,31,31,2.26
2840000078,16,31,33,3.59
3600054874,2,31,32,3.09
4156500006,8,31,36,3.56
20024000000,17,31,70,12.94
7320289251,7,31,43,1.78
7003830271,12,31,36,1.28
2100065883,13,31,58,1.58
7790070615,8,30,35,3.64
1590006000,10,30,32,5.71
4900005010,13,30,34,2.88
1490001370,13,30,37,4.13
7110000443,11,30,37,2.1
7189962401,17,30,31,5.29
1128400302,14,30,37,0.95
7003834340,11,30,40,1.55
1590000042,17,30,32,2.94
4127100472,6,30,34,5.62
7003834310,15,30,31,4.26
2100060464,11,30,31,4.27
7003860932,17,30,37,2.9
2840000256,14,30,37,0.5
7096900001,11,29,34,1.39
3560081300,9,29,43,5.45
7590138217,12,29,35,5.24
2840058989,8,29,31,4.37
7790011553,13,29,34,4.32
5300000436,15,29,32,2.78
4114901100,18,29,44,1.64
7003832278,16,29,42,3.74
7007060180,10,29,89,1.38
7007060170,11,29,65,0.89
20120300000,1,29,30,5.99
7003830709,15,29,43,1.98
7003862936,16,29,33,4.07
20065700000,10,29,32,12.02
7267400415,16,29,31,4.55
7003836220,10,29,30,2.4
4800121348,9,29,31,7.48
7111719000,13,29,33,3.01
4100002302,7,29,31,2.0
81162002065,2,28,37,5.07
1128400303,15,28,32,0.9
7790047131,4,28,29,3.73
7003834209,7,28,29,1.55
2430004146,12,28,31,2.92
7206000709,10,28,33,3.68
2840070577,11,28,33,2.76
2840070572,10,28,31,2.99
5009112108,12,28,31,2.29
7003858700,10,28,30,2.66
9175200120,9,28,30,1.78
7003834782,11,28,65,1.04
4900004660,10,28,28,10.96
7003834775,14,28,62,0.93
4600028869,11,28,47,1.45
1800000183,11,28,39,3.55
7800020028,6,28,33,1.59
20067500000,3,28,29,7.13
4069774050,1,28,28,5.63
4900002891,7,28,37,8.03
2840051668,13,27,30,4.8
7267400515,13,27,38,8.19
1270000006,11,27,32,1.67
20010200000,14,27,38,8.75
7024221125,3,27,29,3.7
7267400358,5,27,27,14.43
7003863850,2,27,27,5.8
4850020571,8,27,28,5.16
1800000210,13,27,33,3.31
7003862549,13,27,27,1.65
2840070576,14,27,30,2.86
7003859347,8,27,27,10.6
7003830857,13,27,27,2.73
7800003767,9,27,27,2.27
7003831400,16,27,28,3.14
20407800000,13,27,36,3.56
20023000000,13,27,44,9.38
4400006023,9,27,37,5.46
3400000241,10,26,30,1.46
4082,8,26,26,1.27
2823900020,16,26,27,4.28
4178900121,10,26,42,0.82
7100701094,13,26,32,6.42
1590000211,15,26,37,2.19
7003858497,15,26,26,3.57
20030400000,7,26,33,4.93
7206000103,14,26,26,1.96
7003862735,11,26,73,0.83
OPEN DEPT 107,12,26,45,0.0
82608858110,12,26,29,3.56
20032200000,12,26,30,4.19
7024221110,9,26,29,2.9
20009500000,8,26,62,7.72
81032601032,10,25,29,5.11
2840051779,7,25,28,7.29
7206001317,10,25,29,4.25
20061300000,6,25,25,34.64
3100010101,16,25,66,1.29
7010001637,1,25,59,2.78
2100005532,11,25,35,2.97
7790019282,5,25,25,7.07
7294561103,12,25,32,3.79
2781530042,14,25,32,3.96
4300000274,15,25,31,2.39
5100014604,14,25,27,2.98
20099100000,9,25,30,21.64
5210009860,15,25,42,1.35
5210003493,8,25,38,1.34
7003830272,11,25,28,1.2
3710003662,15,25,43,1.06
7003860200,14,24,25,2.55
8994979992,9,24,28,5.01
7206000280,2,24,24,9.74
4000042206,7,24,26,1.55
7003836086,8,24,33,2.47
7003867102,11,24,24,3.22
4400003223,11,24,28,3.76
7003859595,8,24,36,4.22
7003858799,11,24,27,5.09
9147585000,6,24,25,4.35
6958861286,14,24,27,4.16
7003832670,11,24,25,1.8
3100011305,12,24,38,4.02
4178900745,3,24,25,1.42
4600086011,11,24,51,2.53
1380019074,2,24,24,12.31
7294561314,8,24,25,3.48
7003860415,13,24,28,3.58
7003835202,9,23,24,1.55
7003834965,10,23,37,0.66
4801,3,23,23,2.28
7003834833,9,23,36,0.85
7003836655,5,23,34,1.58
7003834907,7,23,50,1.26
7003834501,7,23,24,2.58
5210003491,14,23,43,1.41
7790050209,9,23,23,7.58
7003835088,15,23,36,1.94
7003864429,14,23,27,1.29
7003835479,11,23,27,4.84
7003836311,13,23,26,4.89
7003865399,10,23,30,2.35
7003865708,11,23,31,2.23
4709,6,23,23,2.75
4178900213,5,23,208,0.43
3760013872,10,23,35,4.47
7218056611,9,23,23,4.98
3710003318,11,23,35,1.07
2400016286,10,23,41,1.82
7294561250,8,23,27,3.14
7143000965,14,23,27,2.35
7003831381,7,23,24,2.71
88331509027,4,23,25,1.33
7225001118,9,23,27,3.99
20036300000,14,23,31,5.6
2840019998,14,23,24,2.78
4000000435,11,23,27,1.47
3010000133,11,23,25,4.21
7003832761,12,23,23,2.26
5963500189,12,23,23,2.55
2500004786,6,23,23,5.51
2840000022,5,23,23,3.59
4067,12,23,23,1.39
19830602527,18,23,23,1.22
2700041900,14,23,27,1.6
20045500000,6,23,28,40.0
7152410405,3,23,29,2.46
2700000933,11,23,23,5.59
2840051647,11,23,23,4.82
7003861753,5,23,23,2.9
2840051799,9,23,28,4.79
1200080999,10,23,24,6.51
4900002468,11,23,28,5.29
4280011400,8,22,38,2.43
20065200000,7,22,26,4.99
20092500000,11,22,24,34.91
4470000974,11,22,28,3.93
3575111113,3,22,29,2.89
2100004442,6,22,22,4.74
7960601040,7,22,22,1.49
2781500118,8,22,23,2.4
7590000617,8,22,24,4.43
7003833165,8,22,22,2.41
7003834800,7,22,50,0.83
7111719003,14,22,22,3.06
7800005240,11,22,22,2.28
7590138205,11,22,25,5.19
1128400329,13,22,32,0.85
7003833187,8,22,22,2.92
1590000028,9,22,26,3.07
5100012910,10,22,31,3.26
7206002511,8,22,25,2.7
7555141134,11,22,23,3.26
20031000000,13,22,44,8.39
7800020027,2,22,33,1.59
20010600000,14,22,23,12.76
1200014094,2,22,25,2.09
7111719007,10,22,22,3.02
2781530053,11,22,31,3.63
7189962406,14,22,22,5.15
7003860909,11,22,29,1.5
20023200000,9,22,40,9.63
65272971032,9,22,29,2.3
20020800000,12,22,34,7.48
4660055003,10,22,31,3.67
OPEN DEPT 134,5,22,22,0.0
20056000000,11,22,24,10.99
20043000000,8,21,26,18.86
7373100419,10,21,26,3.32
2840004349,3,21,22,3.09
7343500201,13,21,24,4.99
2550030407,9,21,21,10.69
7003834970,8,21,37,1.59
89880646068,5,21,33,1.09
7800000034,7,21,32,2.34
2840009017,4,21,27,0.5
2823900040,12,21,21,6.36
2900000822,7,21,28,2.14
1740010513,4,21,31,1.02
7800008346,3,21,22,2.9
7555133344,10,21,24,2.99
5450019352,11,21,30,3.21
81001926822,3,21,22,3.39
1800081778,10,21,22,5.12
7003834920,7,21,39,1.18
2430004101,8,21,24,2.9
3400000480,11,21,24,2.66
7003833139,5,21,21,1.99
4100002266,8,21,32,1.91
2100002689,15,21,22,2.83
20031200000,13,21,33,2.79
3710004213,11,21,37,1.07
1270000001,8,21,29,1.58
7206000232,9,21,24,3.82
19056952219,1,21,31,2.02
72552600909,11,21,24,4.59
7100732350,8,21,28,5.06
4178900231,6,21,22,4.91
7962146155,11,20,23,13.74
77098153602,3,20,22,0.97
2700038143,10,20,41,2.25
4240031864,9,20,20,5.28
65272971055,5,20,34,2.3
74816211194,10,20,25,5.24
7206000201,14,20,25,5.56
7800009840,7,20,20,2.33
2700044205,14,20,29,1.96
3010010055,16,20,21,2.95
7753500701,14,20,24,3.57
2100002632,10,20,20,4.51
20000200000,9,20,24,4.86
4127101827,6,20,20,5.09
4470000004,15,20,37,2.39
7206000003,2,20,20,1.49
1590006335,3,20,20,6.82
7003863065,13,20,22,1.14
4000042431,16,20,24,1.49
2430004301,7,20,20,5.14
4280011600,8,20,33,2.23
1312000082,11,20,22,5.25
1200000085,1,20,21,1.0
2430004120,11,20,21,2.92
4900054515,1,20,51,3.19
4900002892,11,20,21,7.46
7100706140,11,20,21,6.31
7003860927,10,20,23,2.29
82692000172,11,20,24,3.46
7003832637,11,20,24,2.21
9147540799,4,20,20,3.98
7003865671,10,20,24,3.17
2100061526,8,20,20,5.34
20105600000,6,20,24,36.13
1128400307,8,20,36,0.9
7342000024,9,20,21,4.63
20022100000,8,20,34,12.19
4660055005,8,20,24,4.05
7003835022,8,20,21,1.57
78616233800,7,20,21,2.83
3915600010,12,20,32,1.93
7342051640,6,20,20,3.33
7790000168,3,20,21,7.98
7800000386,13,20,28,5.42
7003862629,12,20,41,0.76
2515505705,4,20,29,4.42
7590138224,13,20,22,5.43
7111719014,10,19,19,3.07
3760035160,11,19,24,6.67
20021700000,12,19,23,10.53
3620001494,2,19,29,5.09
20443000000,7,19,19,4.78
20095100000,13,19,19,4.83
7003860931,10,19,21,2.97
4430,11,19,19,4.15
20057100000,3,19,19,4.99
20040000000,7,19,21,7.96
7960601010,5,19,21,1.49
7003861011,11,19,20,9.47
20040800000,10,19,19,8.02
7003859720,7,19,21,5.16
7003836270,4,19,19,3.35
7003858326,11,19,34,2.9
3940001358,7,19,20,1.52
1270015804,5,19,19,2.87
4178900211,7,19,53,0.43
5000032275,10,19,21,4.44
7790033496,6,19,19,11.2
7007060183,11,19,33,1.33
7003834402,9,19,26,1.55
5100021446,12,19,26,2.92
2970013138,4,19,31,3.7
7800008316,10,19,19,8.07
7373100830,8,19,22,3.36
2840031041,8,19,19,6.19
8994900031,10,19,21,2.97
6760007272,6,19,41,2.57
2840051685,9,19,20,4.49
7003834614,6,19,20,2.51
7003834661,7,19,46,1.61
4900003165,13,19,42,4.35
8994900049,7,19,22,2.99
8994900052,4,19,20,2.99
3940001970,11,19,21,3.08
7003833450,4,19,19,3.85
2840051796,9,19,21,5.11
4100002286,5,19,43,2.07
7110000578,9,19,19,6.37
7003833248,7,18,23,2.15
7003860002,11,18,20,2.96
2033715906,7,18,18,3.99
7045900558,13,18,19,3.68
7003857619,6,18,18,1.64
20057700000,7,18,24,6.49
7045900573,10,18,19,4.31
7225002109,8,18,19,3.89
7003865575,3,18,18,1.89
4175715862,7,18,19,3.18
4470003171,7,18,19,10.09
20063900000,4,18,19,6.99
7003830276,13,18,22,1.35
4600013581,10,18,22,1.91
2370006026,10,18,22,6.91
2400016289,10,18,29,1.44
81162002063,2,18,19,5.06
3121,9,18,20,1.76
7206001311,10,18,33,2.52
20095000000,11,18,18,12.43
7248601072,6,18,25,1.19
3120020007,3,18,18,4.03
3470000049,7,18,20,2.04
7206000248,9,18,19,3.06
2430004320,8,18,18,5.15
2700050011,10,18,29,1.84
7003830746,11,18,21,2.18
20308200000,8,18,21,3.49
7003830861,10,18,19,1.86
7003861085,7,18,40,2.8
20434300000,5,18,22,6.27
3620021919,5,18,34,4.4
20040900000,11,18,20,4.44
7003863562,13,18,23,1.26
1200000233,7,18,20,2.84
81003051002,8,18,18,2.59
2100005501,12,18,19,2.86
2100005500,12,18,21,2.9
2100005228,8,18,23,2.72
81004159005,10,18,20,3.6
2100001862,7,18,18,3.19
7100701868,9,18,19,5.78
7003864430,3,18,18,0.95
20022900000,11,18,33,9.03
5300006898,10,18,22,2.43
7110000550,8,18,18,2.99
7111719300,11,18,18,6.78
1200013031,1,18,18,1.0
3800040500,4,18,18,3.59
7962146100,9,18,20,11.59
2800042843,4,18,18,7.74
3800013843,10,18,18,2.74
7373100415,11,18,23,3.2
88810911010,9,18,26,3.83
7143000819,8,18,19,2.95
2770067902,11,17,17,6.42
7003832476,4,17,33,1.7
20100000000,6,17,22,12.49
74938492002,9,17,25,1.79
4100000362,6,17,19,2.44
7225002108,8,17,20,3.89
2700044212,8,17,22,1.87
1111522427,10,17,17,4.83
3283,11,17,17,1.98
4130,8,17,20,1.29
71514111357,10,17,21,4.89
5210009690,9,17,20,2.27
82608858132,11,17,17,4.19
4069741204,3,17,17,6.29
7590000526,9,17,24,4.14
7800008309,4,17,17,10.51
7225001051,8,17,38,0.75
930000552,2,17,17,1.9
7080004152,9,17,25,4.81
7003861028,5,17,21,1.19
4470000063,13,17,23,2.7
7339000016,6,17,17,1.39
5000032290,6,17,17,4.2
3100010102,8,17,47,1.32
7003861083,8,17,29,3.05
3470005411,4,17,26,1.98
7218063813,8,17,22,4.25
7142101271,4,17,24,1.97
3010011176,5,17,17,4.61
2700039014,12,17,31,1.77
20070900000,11,17,25,23.11
3659349810,9,17,23,1.99
4600027918,10,17,18,2.82
89521600106,1,17,29,3.81
4280010953,10,17,20,6.96
7003835605,3,17,21,2.67
20200000000,3,17,19,6.49
3338353650,7,17,18,4.92
20403200000,11,17,17,5.7
3338367000,6,17,20,1.14
7206000580,10,17,20,4.55
7003834892,11,17,34,1.28
7206000536,2,17,17,2.82
1740011805,11,17,17,3.48
1800000260,11,17,23,3.5
7267400202,6,17,19,9.54
4280010700,11,17,26,2.38
2100005496,7,17,20,2.66
4689,10,17,24,1.87
1800000186,11,17,24,3.33
7003836085,9,17,20,2.42
3330010040,1,17,36,2.29
3760024193,14,17,26,2.92
2840051691,11,16,17,5.08
4178900257,5,16,31,0.43
7287827555,3,16,16,3.71
20060300000,6,16,17,19.49
1630016823,1,16,16,5.08
7003834648,12,16,26,1.44
5100000011,9,16,31,1.62
7003864374,11,16,17,2.44
5020000821,10,16,18,2.34
4850020548,3,16,16,4.02
7003834403,9,16,24,1.54
2718255678,4,16,26,7.25
78638191862,2,16,16,3.99
1070006080,5,16,35,1.5
7003834376,11,16,20,0.81
1330028064,9,16,19,3.65
7003834365,7,16,28,0.82
7172002584,4,16,17,1.58
7800000161,5,16,16,2.24
1630016821,4,16,16,6.43
4178900258,7,16,59,0.44
7143001066,10,16,18,1.66
2718256823,8,16,18,13.91
2100001865,8,16,17,2.94
7084781271,5,16,16,3.1
5963500199,4,16,16,3.03
5963501102,3,16,17,2.54
7003836526,5,16,24,1.14
85998706071,7,16,22,5.95
2100060471,6,16,16,7.52
20055600000,10,16,16,11.55
4240041620,2,16,17,5.67
7373107005,6,16,17,3.19
20067100000,7,16,16,3.36
8000000673,13,16,68,1.03
20055700000,12,16,16,8.99
5300005278,6,16,22,2.39
7373100235,9,16,16,2.99
2100003129,5,16,24,3.04
7003865400,3,16,18,2.34
5300000614,10,16,20,2.77
20060100000,2,16,16,37.97
7465379187,4,16,22,5.11
4900000977,7,16,17,2.39
7003865771,10,16,16,6.36
4000000105,6,16,29,1.54
85190900820,3,16,16,10.99
20124400000,4,16,18,2.5
7003861716,11,16,17,3.21
81162002142,1,16,20,5.09
1800000501,11,16,25,2.99
7003859196,9,16,25,2.24
7192182379,9,16,19,6.62
20073400000,5,16,16,40.0
3940001977,7,16,20,2.88
9175200105,8,16,19,1.76
4900056125,3,16,16,2.49
3940001810,8,16,33,1.61
1380042595,2,16,19,12.3
7003859634,7,16,18,5.35
3100078889,3,16,22,4.7
7007060080,4,16,35,0.89
1490001220,7,16,23,5.21
4156500017,8,16,17,3.19
72552600919,9,16,16,4.31
81032601300,6,15,16,5.05
7003864834,6,15,16,4.35
4082234567,3,15,15,4.79
20040600000,9,15,17,7.17
7080022421,5,15,15,4.18
81001926323,5,15,17,3.19
88810915003,10,15,16,2.81
8994900033,7,15,16,3.61
980082006,2,15,16,4.29
2840070573,6,15,19,2.99
4400003219,10,15,17,3.92
7003867101,7,15,15,3.23
81011970334,2,15,15,3.39
1490036355,3,15,17,1.8
2840020068,8,15,15,2.83
7003864703,10,15,15,4.77
7778200787,10,15,18,6.1
2840020128,7,15,15,2.93
4156519388,6,15,15,3.46
7100714571,3,15,18,1.89
7456240110,1,15,21,4.83
7218073366,7,15,18,5.14
7003858529,5,15,19,4.77
4240041570,7,15,15,4.44
1128400316,7,15,17,0.87
2400016311,1,15,18,2.54
2840032720,8,15,16,6.19
4900000612,3,15,15,7.41
5410046000,2,15,15,5.86
4690000113,8,15,23,1.62
2840070561,7,15,15,2.99
7184030006,8,15,15,3.0
2100005509,9,15,16,3.1
2100061144,8,15,15,3.35
2370001412,6,15,17,7.46
4139000002,8,15,15,3.03
2033715816,7,15,16,5.79
7003861406,7,15,16,2.37
5009160018,6,15,17,3.37
20071400000,12,15,20,35.47
7790053608,10,15,18,3.81
7003863062,8,15,25,0.82
7143001702,7,15,19,3.89
7047000300,9,15,33,0.78
2700039334,7,15,17,2.26
7047000307,6,15,38,0.76
21121600000,4,15,18,9.49
7003865571,10,15,18,7.44
7003859862,11,15,25,1.28
4900055775,3,15,18,1.19
7003833782,7,15,15,2.35
7047000313,12,15,34,0.79
1580003062,11,15,17,4.1
7003834873,9,15,20,1.31
4051,5,15,46,1.2
73249400052,9,15,17,2.81
2780006557,5,15,16,4.34
7173518009,1,15,19,3.19
7003834312,10,15,17,4.15
2740010307,7,15,15,4.36
7003862712,7,15,18,3.94
1370041929,4,15,15,3.26
81003051407,7,14,15,2.59
81003051048,9,14,14,2.59
5440000005,8,14,14,6.07
7003833436,8,14,14,3.67
7590000563,6,14,23,3.66
7257900102,9,14,15,1.44
74938490321,9,14,17,1.75
86226400013,10,14,15,4.0
4400005869,7,14,15,5.14
7320289253,6,14,20,1.79
7003834325,5,14,15,1.37
4600082361,6,14,15,2.8
7003860607,7,14,17,4.43
7003859400,7,14,14,10.36
